,net_assets,ytd_return,fund_yield,morningstar_rating,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,price_book,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,bond_maturity,bond_duration,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,morningstar_return_rating,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,morningstar_risk_rating,years_up,years_down,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,category_treynor_ratio_3years,category_treynor_ratio_5years,category_treynor_ratio_10years
net_assets,1.0,0.0293848445249224,0.0025320429885334114,0.11288152101694666,-0.11207496275876982,-0.029423132949113914,-0.026604743599029312,0.04383997792589794,-0.03223873970410493,-0.02853415164584951,-0.005520855765506065,-0.011895090006672375,0.027985871037960734,-0.002374183662205822,0.02327276538485057,0.013422155219876828,-0.018730774590323646,0.026743322514434554,0.05068780200505413,0.0018582948595617932,0.014455653158535734,0.006852687052672501,0.00454507127286928,0.046306872463363735,-0.028113288995772062,-0.005745990017640351,,0.022803542581600143,-0.027809740317552963,-0.018186720556158824,-0.01698591336948246,-0.02847418921796342,-0.02198457534755864,-0.008986529126272787,-0.024482059019478267,0.09922866231254525,0.029700928331877065,0.0400601116221573,0.043555883830440546,0.04017074124836053,0.03249081697043569,0.0400601116221573,0.044342196133119925,0.031179252754908855,0.07888914219429462,0.05126221860411773,0.10732863528774833,0.056153286845652614,0.11969715329730551,0.04592443511174797,0.029265681413352077,0.00415397634111827,0.04857770519998968,0.05048561686721566,0.009246493359716834,-0.016636408139219534,0.055610473805693825,0.03506893518336297,0.04247411833281368,0.025648988170446547,0.04525032716603772,0.04278031670993255,0.05236781119949633,0.03600305874387652,0.009501324100412364,-0.01894477213901045,-0.008299374822584577,0.003918415838038072,-0.009651285052142357,0.08043789667688067,0.02151277929220655,0.054138903759857235,0.010126251808196308,0.062058563937778435,0.008906541128516021,0.04861653154580346,-0.0045105123153898075,0.007314985399884802,0.02179706352737422,0.009908838590806933,0.02722517526152988,0.0008037254254572482,0.012286342468566991,0.06282690072680047,0.04839029489471051,0.07969197331384717,0.033213450566770435,0.057014932259704096,0.028948917171024036,0.07220343888666825,0.05458097954464024,0.07417086007517912,0.055125715812102995,0.06840583189870213,0.05176587649936254,-0.009504488218152052,0.014435979523669835,-0.006948077125441916,0.014500810833472065,-0.006251684998540191,0.015030019904168272,0.08129393813055684,0.043388163313784235,0.08727750447966169,0.03492424542873787,0.08013489215220274,0.03643488253952888,0.02085068411347788,0.035732081118827,-5.219242158440872e-05
ytd_return,0.0293848445249224,1.0,-0.350611710451038,0.1133384644075299,0.050335769056585204,0.12393541751722265,-0.3499307831240727,0.7571516383386045,-0.6829193085240154,-0.09408606006602814,-0.0015122769191894118,-0.029552705043434633,0.29475702273937116,0.06548432287717622,0.35519634660523014,0.24477987485205838,0.15254001197308809,0.22535588678010793,0.3838998016737388,0.026221487848436992,0.053043663345614715,0.05677688322982029,0.2665528247829272,0.5919723310069356,0.03866044911648289,0.18117804433388582,,-0.3144047956453995,-0.3676419683388841,-0.4268107582448077,-0.35967682876973694,-0.2203767061708619,-0.17141778029136504,-0.14352114403107077,-0.14718041819029654,0.1370197538053995,0.999501597635722,0.8435169268458056,0.12115271514001505,-0.05256868452182154,0.9724784463937696,0.8435169268458056,0.2848999171259716,0.21663469928654727,0.755983314137018,0.7685460984363228,0.5560735216908971,0.591373893175009,0.5493277795299156,0.7528744689385436,-0.43143068370850485,-0.501302673962281,0.6818996132384535,0.6738074512210535,0.313167096806042,0.3634553072634938,-0.05323236098049162,-0.09560354840918522,0.21215983316396764,0.24457824132641262,0.7507306306879716,0.7648138323275104,0.584707088016086,0.641987297375145,-0.35199882457551507,-0.41960277549676095,0.7277933141844868,0.7750998914086853,0.16315500762491253,0.010030851430643906,0.07305394779400502,-0.029888501093342963,-0.1133914599245114,-0.10320625280626873,-0.1581385639428107,-0.1117097572194672,-0.15013414764503638,0.4115120558180095,0.3745131156201155,0.37498370413932086,0.3992242059180007,0.12400809787234264,0.22831831608948286,0.8419767407820938,0.7077747944475685,0.6916773173804194,0.6150132839837373,0.8646494724720644,0.6285854784638308,0.18415169607963203,0.1719379035333203,0.19066142260584057,0.21182804740684902,0.2458035730903247,0.29099387266886123,0.687762545586649,0.6797899841322588,0.6851081657949765,0.6677340853653649,0.6764253173317424,0.644617614148999,0.41962030250928256,0.4551694343498159,0.14268475427953425,0.009676985802596481,0.06292656972118801,0.14726538594653643,0.29212130034118433,0.36339725164911585,-0.03372263931177943
fund_yield,0.0025320429885334114,-0.350611710451038,1.0,0.07370965117342916,-0.20948271908502586,-0.17367995220631127,0.0324572047103056,-0.4955640053777358,0.49715449181952,0.047324097876750085,0.12314695577552744,0.05802766277954775,-0.20521949274393494,-0.043259660250305886,-0.2548105482205757,-0.22059857434776112,0.04605994347419717,-0.18156747122667796,-0.3271377861393668,0.04718420685313032,-0.0018742439557510907,0.17709001330931656,-0.19683354479991746,-0.4512051548335919,0.028466347208690707,-0.10778320580807661,,0.11979252343287822,0.13362930620070856,0.20703357294479915,0.29570263753694565,0.43165550848292206,0.4148855242990491,0.35450715443103126,0.1337625508140986,0.07160059552700451,-0.35295652157753715,-0.3941263772080778,0.09990186773932179,0.16313151786889166,-0.35169265751476464,-0.3941263772080778,0.0007879794586557869,-0.03028708743804934,-0.2940019876821957,-0.38734489992941523,-0.2780407798170086,-0.36203751634530146,-0.258579706364435,-0.3307772978956937,0.19947785206802499,0.2268388426209794,-0.36613918060310907,-0.40223646308754474,0.021463346689177355,-0.04118703421299529,-0.14282114292917072,-0.14282396497906463,-0.09238735909699157,-0.1170687165093508,-0.4759811430539864,-0.4814722352450917,-0.1369881506827929,-0.17705377256994098,0.30506931545588645,0.32513701002308826,-0.31025192826583076,-0.3417589020523746,-0.006876491627504794,-0.051565672329482795,-0.12509280765150044,0.23872784290564814,0.2523506298198715,0.16834714098557674,0.16048220328137205,0.33852928220446576,0.3727551657276796,-0.1676101375800921,-0.2463360078904647,-0.13738874138568838,-0.20451494572073206,-0.0074453203971421265,-0.1240903554209193,-0.33024377625086615,-0.29829858784582247,-0.35544602047733664,-0.38846693700383056,-0.38650834034935594,-0.16395128920473617,-0.2683536290238736,-0.2598859701918281,-0.26983504056390484,-0.2690393932733818,-0.345835975883275,-0.3239581370224397,-0.42763674256166495,-0.4306772758337163,-0.41825568143482,-0.40279850204493167,-0.4912020260991541,-0.3804841848675064,0.0529075456619191,-0.13924685391360606,0.037929308654155766,0.08468937312248917,0.23287008145724583,-0.00531817958549061,-0.08686032746249614,-0.21743787912386414,0.13446303022108544
morningstar_rating,0.11288152101694666,0.1133384644075299,0.07370965117342916,1.0,-0.2414974082034569,-0.053651187313391524,-0.13391589795800837,0.009559455902897253,0.04194305844098743,-0.05294237020824551,0.017559083374004945,0.014681122576756689,0.053851388395161646,0.002500474002559052,0.03293897084276262,0.013053580641309017,0.0008615904458465387,-0.006211460110781813,0.029989747451697923,1.0411787677103361e-05,-0.015999679898516275,-0.003291387740802909,-0.003489074926323956,0.07007355101522816,0.08540938158855743,0.02181293574793913,,0.023666134202677224,0.039922369078281075,0.05809733776633928,0.062349011782718594,0.041432524881655504,0.04883623544768106,0.0628583226436532,0.03627884318298503,0.9536892715115719,0.11318308561312565,0.046921112788725426,0.12362815992863771,0.024884134169918498,0.12290688282956437,0.046921112788725426,0.22084875038969143,0.029724921558134033,0.4363334289161256,0.052032161218083225,0.4149344367157962,0.04861439020138943,0.2978560774275123,0.06556308602714161,0.18357566909821343,0.022386112337692898,0.15487024999133875,0.011211248653437705,0.10757272400457304,0.01326852151079956,0.20416677791460613,0.0171004784126299,0.20249572355481413,0.05097262696349102,0.052907232168744094,0.0012746303667373,0.18636245031174323,0.06703337997808993,0.15139265152784098,0.031602114721503094,0.186376056154679,0.08989141781797098,0.41873603196113995,0.12915420073040237,0.008109974370640814,0.42482642182456387,0.01943448067655238,0.40645037197831235,0.005039593832745378,0.34450865960100635,0.010263547140412646,0.05621283980878437,0.02377794153420668,0.05661947254217277,0.04995649015494556,0.03103941093897681,0.0016322051653667533,0.30116851629519986,0.040828206927750424,0.3578163618227059,0.013298322351467655,0.26447763510562033,0.04199097865006527,0.03842420313017375,0.03893506990128864,0.03283238130423932,0.03493103496987851,0.006211409773065252,0.051564843421857166,-0.07269438707496556,0.005500549318809963,-0.07519021550650035,0.002216195352989789,-0.06830723180364018,0.014902927349648607,0.450234802144715,0.00899935511044133,0.49941057437221376,0.06857033957196351,0.4498907401492364,0.12476519749352974,0.0040266633148898666,0.005118491528003124,0.014881744927285154
net_annual_expense_ratio_fund,-0.11207496275876982,0.050335769056585204,-0.20948271908502586,-0.2414974082034569,1.0,0.4507899091659473,0.21326284540224982,0.11655429563398971,-0.2191951007715057,0.09990829637671036,0.03634434920517586,0.02939001317472128,0.03397809798708833,0.05837084718762552,0.07489470222053989,0.06465184255831148,0.061067007308370634,0.03906068223623568,0.03699959531480993,0.014009476166883668,0.035470080480148825,0.06804634736209725,0.09149965472121604,0.07041719395443556,-0.0026036599016257852,-0.057508821327277436,,-0.21814914339461636,-0.146374457354177,-0.20032823276087666,-0.17778553198780148,-0.04928683015656836,-0.03132422069407915,-0.04019269251404489,-0.022277485592079708,-0.22939790059244466,0.051827376824284774,0.06196808991343574,-0.07148381403802274,-0.08391246316401531,0.042657025477012736,0.06196808991343574,-0.1533986122456312,-0.14352151194310192,-0.04968699020356401,0.013667838927396238,-0.14100944526637932,-0.08562471542662024,-0.039474800662632314,0.004988761940276623,-0.2109977078513832,-0.17220324248684424,0.022001632382924106,0.06552231107131211,-0.012828858620204601,0.043467413241750234,-0.1913320660387822,-0.14791893933737643,-0.15212219710494404,-0.09106112833522934,0.06873612243629777,0.0795753221299043,-0.010253509786099265,0.028444473851290716,-0.2819469988161434,-0.2398458589631068,0.06830905729935162,0.11546765460970672,0.015079681001027726,-0.050196737128334626,0.1761318979463288,-0.16915469873393474,-0.05080858420814716,-0.20629160958591441,-0.05065303852831257,-0.16634532868910107,0.0025757918054418612,-0.04302769454637422,-0.0073983863368516185,-0.03529461243674308,-0.06845393017673035,-0.020751819407308733,-0.018612232639467794,-0.04323082136481454,0.01791955738083137,-0.1350941304703304,-0.04154530633755041,-0.0015676578590687186,0.05586412820755254,-0.20257117498874128,-0.20432774909026893,-0.15928684038344293,-0.17890602882669476,-0.05479652340228946,-0.10067255620437175,0.2354532877727467,0.1731911748551435,0.25700257163530477,0.18077382106337173,0.29411848736537294,0.17103219730528527,-0.19342312819752022,-0.0344937406230433,-0.3530321372523251,-0.2489063411469444,-0.3830139567575497,-0.16371591003299632,0.02689081037381728,-0.04916419630320229,-0.002373587552617168
net_annual_expense_ratio_category,-0.029423132949113914,0.12393541751722265,-0.17367995220631127,-0.053651187313391524,0.4507899091659473,1.0,0.26546448780908044,0.2283529329668868,-0.35968988088606163,0.0949445573234168,0.015981014752107697,0.045409450673000624,0.04303759329358392,0.08779300775381034,0.08547674848514626,0.02882499417788064,0.06266689435737523,-0.02930583857119606,-0.0015135123259443037,0.01562119384589254,0.04102970422047676,0.09565945851253246,0.09926569650212873,0.07928792229870066,-0.009449755645334495,-0.1751486167391627,,-0.5106374346216926,-0.23920245258775694,-0.3726847182781199,-0.3787256353462454,-0.13682239470354401,-0.09955572599889848,-0.11745544357445734,-0.07597593410112181,-0.05016864669485149,0.12432178130207545,0.12041091585083019,-0.1065872402079643,-0.17940046992660766,0.1210805684637201,0.12041091585083019,-0.17213429483758474,-0.26960988437350664,0.04243742391027393,0.024176367548950063,-0.0669891953045367,-0.1660011723373567,0.022480180932276526,0.014633325573593915,-0.24577193587945695,-0.29798052215871046,0.12495009163871527,0.12498560954548767,0.06870089894227846,0.08402540860713736,-0.18926831282880355,-0.27992113711580463,-0.12081298764417377,-0.1652887357312678,0.15095712648048448,0.13265322020197765,0.08912473805414442,0.0472872385844629,-0.38454790818099144,-0.4424992671206928,0.21262147297460487,0.21943826617290946,-0.03352532275507884,-0.07749088112453474,0.16102655440503694,-0.04295973046207948,-0.029445260345014972,-0.08799194100962571,-0.0755937419190402,-0.012850571168380261,0.07117328418577588,-0.14072049440178314,-0.09342337120910524,-0.12836898110519415,-0.1780860667708012,-0.052350302809235034,-0.09711916069797943,0.071197763312201,0.005643963467674218,-0.01665996724394795,-0.047995782455863466,0.17859123333922883,0.0236513644490667,-0.39759749688144236,-0.49697683965527756,-0.34901404114483486,-0.45476360232197105,-0.19119989462815193,-0.28492496082512264,0.4408488343380516,0.37238929381704866,0.48349987046780163,0.37512315217609843,0.5788178183616259,0.3623839362333025,-0.17195967472191528,-0.17516873498011046,-0.3197648401056407,-0.5451086440445023,-0.4299285857649538,-0.30311627674947184,0.08890463893770843,-0.07045356023936784,0.024554478340409833
portfolio_cash,-0.026604743599029312,-0.3499307831240727,0.0324572047103056,-0.13391589795800837,0.21326284540224982,0.26546448780908044,1.0,-0.33549863227443877,0.0010285598010448267,0.1630128862173394,-0.01667760707425364,-0.0024268231378939287,-0.06199620260109613,-0.05258090472755138,-0.09579908015439119,-0.07827556495787462,-0.03847943730164629,-0.10353268994961955,-0.11040491208161479,-0.04042201560816529,0.017178068513081075,-0.024265707553237606,-0.06202852383731164,-0.1321644537712108,-0.1774160985130901,-0.17661146370370653,,0.01844303363435532,-0.07175357442776152,-0.0264015697595066,-0.0075004450027823045,0.014272931687494052,0.00891390610649228,-0.0035650873127524548,-0.0213518880578878,-0.12939174860632452,-0.3496288293614853,-0.3596821032911337,-0.053712701985553495,-0.04407302920719001,-0.35467078533386304,-0.3596821032911337,-0.1472942582561265,-0.15875311194966146,-0.3045671560220689,-0.3531457708844288,-0.3071084530293657,-0.3448049238817324,-0.2905698667660822,-0.39950398412417126,0.13592072305889108,0.15263783390924132,-0.27074781232498885,-0.2863893295609519,-0.16038762774626114,-0.18403283670983198,-0.06703357388411711,-0.06891731053576791,-0.20352692129407582,-0.232931306281163,-0.24288863598776017,-0.25511364294286887,-0.3297887707447818,-0.42626100943880774,-0.0360964703128767,-0.01791092611985535,-0.2971449446496163,-0.34203812636078773,-0.12500735543045388,-0.14172606360768505,0.010334650614096767,-0.008807800180723057,-0.026786435799451783,-0.023281271936901327,0.00975016300159736,-0.01793094860985853,-0.016583418996115828,-0.27280481806764156,-0.20486264357199438,-0.24741537654522944,-0.2945697783611823,-0.09649178557215668,-0.0630070722492418,-0.32630506158369976,-0.35142822768786675,-0.34341097903701917,-0.2751832120804915,-0.3885459467139969,-0.31299046084487475,-0.2513651493971554,-0.25541918216365633,-0.23985555400548664,-0.2582062440651599,-0.20822999623942276,-0.2520892661678382,-0.10924330064459195,-0.20144218773313136,-0.08385012803488648,-0.18757075024114422,-0.05484791517669321,-0.19454970802642207,-0.2033617330471236,-0.20715373121942107,-0.2648589659082293,-0.20166578621809333,-0.2872664023521757,-0.3593304996693281,-0.05744256167626514,-0.19552791984569676,-0.038930335785635775
portfolio_stocks,0.04383997792589794,0.7571516383386045,-0.4955640053777358,0.009559455902897253,0.11655429563398971,0.2283529329668868,-0.33549863227443877,1.0,-0.9187947906417128,-0.13927643838295137,-0.08585949371694929,-0.12493231170678386,0.28539993720365614,0.16575591533776274,0.40693149047306443,0.43831568632229523,0.14261588615946874,0.4161803340153999,0.4612674462913035,0.06291268016366294,0.16252732056884495,0.044189284105563394,0.35278432301276585,0.5711857921878492,-0.001633982060753254,0.15632689646241432,,-0.34919797520616086,-0.4307347823062217,-0.5180761675262402,-0.48721025224574244,-0.39460804694338814,-0.3291412911212139,-0.2778027428336676,-0.21252294374055172,0.007211818964361795,0.7576548135879435,0.8362718939618735,-0.08189336200323875,-0.16284264595479647,0.7513857034199751,0.8362718939618735,0.0014769367548522023,-0.004028643143053131,0.5739387810412554,0.7286759152172209,0.3953094169242413,0.5170176954693881,0.4289945206491333,0.7182696515686228,-0.5731866109250731,-0.6889177252947852,0.6696291896893332,0.74951103838142,0.28172824150425296,0.3452805552613882,-0.099563769367888,-0.14830065849711527,0.09797724826534746,0.11459624014667469,0.7422947675333648,0.7721053121319313,0.5311228144654525,0.634960805453613,-0.5300023564920504,-0.6309945018767903,0.5884700633918649,0.6754155962251371,0.03271531535344106,-0.049867338733693096,0.12494388160667522,-0.25509870383637484,-0.28923673069605305,-0.19482434254294667,-0.2341189306574322,-0.24347108241494403,-0.3011148838550299,0.31660338111321656,0.422268345326147,0.2783215476629155,0.4130163141582883,0.08081929121928877,0.23581945015754385,0.6579613093676522,0.7714132402577298,0.5255285376608171,0.6308083611203416,0.7266502068955267,0.6249019670111039,0.2722243943661113,0.27434622201549325,0.3000239024270033,0.33131690584832796,0.3964789234298304,0.4326941990221979,0.7790210119685829,0.8254419259587079,0.7799505698187638,0.8195126219409837,0.8136653117028494,0.8103468777283925,0.22679384073806103,0.4331189847375545,-0.052262151934750777,-0.17741889158703752,-0.21268119709172995,0.060943407756991225,0.2633253270204857,0.32805720086878276,-0.0757685579760179
portfolio_bonds,-0.03223873970410493,-0.6829193085240154,0.49715449181952,0.04194305844098743,-0.2191951007715057,-0.35968988088606163,0.0010285598010448267,-0.9187947906417128,1.0,-0.02226315278817076,0.0031471456351531988,-0.007180484059705924,-0.2760207501749896,-0.1632252927956428,-0.3874887202818808,-0.4412879357657846,-0.14956223876694064,-0.39622360742007434,-0.4415369155107328,-0.07824434950835206,-0.17857121491766584,-0.03890833514511227,-0.34861428142086753,-0.5536541969208774,0.08066792734532013,-0.0682123132812064,,0.38168467385847604,0.5046679611395526,0.5784429780223039,0.5185154781925383,0.4073193987112992,0.34698540922230786,0.2999187941571169,0.20440242790081306,0.04238367684337837,-0.6831715756391428,-0.760107868747236,0.10657142305110977,0.19126255731813055,-0.6739141161629246,-0.760107868747236,0.05471939954613423,0.06631221247805076,-0.5034767826603305,-0.6489443684158329,-0.3031816039773985,-0.41861745112239857,-0.349122776368983,-0.6199566645590738,0.566101012621006,0.6803682290836178,-0.615317942341159,-0.6974407946027013,-0.25210131214377945,-0.30789212363495305,0.14477343488582162,0.19553611438564492,-0.03382378517732797,-0.041402849300889485,-0.7039281727487549,-0.7310103056783965,-0.464115665964082,-0.5426140843314401,0.5800539500729651,0.6848337469385012,-0.5412457205815446,-0.6203306970771413,0.01019203628285513,0.11495113982068407,-0.13552883895298112,0.26594428635293793,0.3092578511836101,0.21172908204157223,0.23921445241250858,0.2546222082514639,0.31706508600163913,-0.2473060991331361,-0.37878960831210273,-0.22185436212888507,-0.3310934121615067,-0.062329959507240726,-0.23030202563091723,-0.5889775713280738,-0.6938430187115479,-0.4394019462383551,-0.5702607490176265,-0.6593370088200996,-0.559621313593937,-0.18241684702877267,-0.1785460065605456,-0.2250995841441221,-0.24122650858057484,-0.34641691531342317,-0.35440465575839764,-0.7856747148341644,-0.8029814142110414,-0.7984627745802099,-0.8037962548340228,-0.8380211879957564,-0.7928743954836519,-0.181896028207791,-0.396049434646663,0.15113310809315422,0.26742085109824176,0.30007323096396304,0.07571469549709876,-0.2621192572745172,-0.2619846100997032,0.10327337723533753
portfolio_others,-0.02853415164584951,-0.09408606006602814,0.047324097876750085,-0.05294237020824551,0.09990829637671036,0.0949445573234168,0.1630128862173394,-0.13927643838295137,-0.02226315278817076,1.0,0.007070377712495628,0.009414108094577496,-0.03022773294151852,0.02934425067325659,-0.03838477162893059,-0.03590352230533832,0.02881783473692712,-0.027576349492339024,-0.0467122637385267,-0.00776037754701786,0.031025390161623586,-0.016247326582382215,-0.022443127904037467,-0.027838484706175295,-0.08353211369128291,-0.07321689799577602,,0.002518083761428374,-0.025982670923080806,-0.03607707584008015,-0.028164303110949137,-0.012331330048486275,-0.0077539872997885615,-0.012196333439727074,0.010368994689709718,-0.04979685699856708,-0.09290666768273025,-0.10369681206701263,0.021867677372995616,0.03109518877357163,-0.09631246280650482,-0.10369681206701263,-0.08355718218132183,-0.07088054519980633,-0.08975203369335776,-0.10848360876467257,-0.11118628360742339,-0.138457883803625,-0.09233081044815063,-0.140746025669684,-0.026608712078192515,0.008371397655194316,-0.058194224672337654,-0.07229129714219698,-0.025572353185497085,-0.0429067431554169,-0.07042744853243303,-0.0834159003885931,-0.06994499226352985,-0.06518374979749277,-0.10720846204709737,-0.09833671698367878,-0.09156194338708162,-0.12403675844625872,-0.04295054869577921,-0.05636869520324496,-0.02138987183954132,-0.039807444428131146,-0.008344376981310185,-0.07886711761688306,-0.012654248888127492,-0.03042899972979254,-0.02116240320492686,-0.0024908391417714977,0.01032504215930132,-0.0372812206559928,-0.04114196618588793,-0.02449578928024395,-0.014197015506139743,-0.00765823209022161,-0.06726796227489988,0.007343709687643527,0.0030446646930624706,-0.09567567394134664,-0.09196950581125703,-0.11773477698332828,-0.12237833047538302,-0.06915777524653745,-0.0771175970174749,-0.056217838479844594,-0.05672175945316076,-0.04054790132451093,-0.04866266180150764,-0.030385962532370872,-0.035978416370015934,-0.037827333737727856,-0.06344970191591401,-0.017015939602829357,-0.05156291108306273,-0.012299309474359674,-0.0500771131267663,-0.0795457854041798,-0.06426422267019263,-0.125997844851819,-0.09556886134653882,-0.07922598170120912,-0.16096348322919946,-0.06592065185778105,-0.13153791337912482,-0.02775296876419655
